Satisfaction Score,Churn Score,Tenure in Months,Monthly Charge,Total Long Distance Charges,Number of Referrals,CLTV,Age,Dependents,Internet Service,Gender,Churn
3,82,2,19.5,56.04,0,2484,23,0,0,Female,1
5,46,25,48.25,0.0,0,4284,20,0,1,Female,0
3,90,22,55.15,737.66,0,5866,22,0,1,Male,1
4,42,68,88.85,2829.48,2,5228,39,0,1,Male,0
3,27,37,19.85,980.13,0,3408,28,0,0,Female,0
3,73,53,94.0,2524.92,1,6355,77,0,1,Female,0
1,80,8,75.0,42.72,1,2587,20,0,1,Male,1
4,79,12,89.55,400.32,0,2325,60,0,1,Male,0
4,22,23,96.9,195.5,0,3875,61,0,1,Male,0
3,22,20,81.0,227.8,6,4741,45,0,1,Female,0
3,22,18,20.05,413.46,0,4204,61,0,0,Male,0
3,51,52,30.1,0.0,0,6290,42,0,1,Male,0
3,64,34,20.8,1514.36,1,4985,44,1,0,Male,0
1,84,41,104.7,1957.34,0,3316,21,0,1,Male,1
3,68,64,24.4,2373.76,9,4772,69,1,0,Male,0
5,31,1,43.8,37.5,0,4633,39,0,1,Female,0
3,90,2,49.25,0.0,0,5775,21,0,1,Male,1
3,53,10,19.85,155.1,5,2019,56,1,0,Male,0
3,64,11,44.65,320.76,0,4492,59,0,1,Female,0
3,49,38,83.45,129.96,0,2768,76,0,1,Female,0
1,90,1,44.15,8.77,0,4773,44,0,1,Male,1
4,51,11,20.4,547.8,0,5397,60,0,0,Male,0
3,56,54,24.95,0.0,4,4691,76,0,1,Male,0
5,46,24,24.2,176.88,1,5865,58,1,0,Male,0
1,77,4,99.6,75.64,1,4708,68,0,1,Female,1
4,44,14,46.35,0.0,0,2056,71,0,1,Female,0
3,61,35,69.15,177.1,0,3945,60,0,1,Male,0
5,72,47,95.2,983.71,1,4977,21,0,1,Male,0
3,80,42,59.65,927.36,0,3048,27,0,1,Female,0
5,30,30,64.5,836.4,0,4320,52,0,1,Male,0
4,35,72,84.3,2090.16,0,6012,55,0,1,Male,0
4,54,62,79.95,1526.44,9,6488,69,0,1,Female,0
3,78,66,74.6,3007.62,0,4838,56,0,1,Male,0
1,91,2,49.05,29.4,0,2960,42,0,1,Female,1
5,53,40,25.25,1118.0,9,3217,43,1,0,Male,0
4,68,10,20.25,131.6,0,5504,24,0,0,Male,0
4,73,9,54.8,400.14,2,2848,43,1,1,Male,0
5,36,63,19.55,672.21,4,6002,48,1,0,Male,0
1,92,4,70.2,52.08,0,5094,43,0,1,Male,1
3,30,31,20.1,1045.01,0,3086,63,0,0,Female,0
2,87,1,69.15,2.2,1,4179,54,0,1,Male,1
5,65,38,20.4,264.86,8,3756,62,0,0,Male,0
5,59,60,110.0,1477.2,2,4953,69,0,1,Female,0
4,22,19,66.4,578.36,1,4533,71,0,1,Male,0
4,65,13,73.35,532.87,0,4645,64,0,1,Male,0
3,64,30,95.0,86.1,0,3597,36,0,1,Male,0
3,73,33,34.05,0.0,0,3044,64,1,1,Male,0
3,26,42,95.55,961.38,3,4121,66,0,1,Female,0
